REG,DATE,FLIGHTS,D,A,I,O,HEAVY,MED,LIGHT,SCHED,CHARTER,CARGO,OTHER
EUR,2023-01-01,19968,2369,2334,14737,528,2473,17152,342,17696,425,377,1005
EUR,2023-01-02,24095,2407,2477,18663,548,3009,20074,1014,20240,638,745,2590
EUR,2023-01-03,22712,2427,2430,17282,573,3108,18474,1131,18535,545,1135,2587
EUR,2023-01-04,22599,2335,2356,17330,578,3164,18292,1145,18560,428,1180,2545
EUR,2023-01-05,23111,2435,2429,17700,547,3181,18652,1280,18986,491,1140,2624
EUR,2023-01-06,23875,2508,2486,18323,558,3172,19552,1153,20152,507,919,2365
EUR,2023-01-07,21421,2558,2549,15752,562,3128,17381,913,18218,670,536,2045
EUR,2023-01-08,23108,2507,2617,17413,571,3166,19223,720,20079,576,596,1973
EUR,2023-01-09,22935,2294,2391,17712,538,3094,18765,1078,19118,442,978,2484
EUR,2023-01-10,20758,2217,2220,15772,549,3129,16335,1295,16358,433,1247,2801
EUR,2023-01-11,21003,2180,2209,16066,548,3110,16391,1504,16427,367,1269,3072
EUR,2023-01-12,22046,2326,2286,16941,493,3130,17444,1473,17229,478,1312,3120
EUR,2023-01-13,23560,2324,2339,18375,522,3150,19055,1356,19261,487,1147,2730
EUR,2023-01-14,19584,2420,2387,14280,497,3103,15728,755,16781,550,596,1713
EUR,2023-01-15,21622,2388,2475,16254,505,3088,17893,643,18975,456,586,1735
EUR,2023-01-16,22232,2192,2373,17204,463,3055,18146,1033,18245,376,1000,2711
EUR,2023-01-17,20095,2111,2135,15365,484,3016,15800,1280,15636,399,1233,2922
EUR,2023-01-18,20610,2107,2079,15921,503,3041,16110,1461,16042,326,1257,3084
EUR,2023-01-19,21446,2260,2245,16486,455,3122,17034,1291,16708,431,1318,3097
EUR,2023-01-20,24029,2384,2304,18847,494,3145,19489,1397,19125,488,1162,3322
EUR,2023-01-21,19546,2431,2394,14257,464,3060,15724,763,16605,561,628,1817
EUR,2023-01-22,21515,2414,2390,16232,479,3051,17731,734,18620,458,601,1955
EUR,2023-01-23,22193,2136,2207,17391,459,2972,17973,1250,18099,345,1001,2855
EUR,2023-01-24,20124,2041,2046,15566,471,2961,15663,1502,15523,390,1220,3091
EUR,2023-01-25,20514,2089,2050,15887,488,3002,16062,1452,15771,351,1240,3251
EUR,2023-01-26,21966,2229,2244,17037,456,3064,17372,1531,17003,447,1270,3340
EUR,2023-01-27,23363,2263,2229,18385,486,3075,18895,1394,18810,453,1137,3023
EUR,2023-01-28,19506,2388,2328,14335,455,2971,15658,878,16553,550,556,1910
EUR,2023-01-29,21692,2345,2382,16483,482,2999,17743,951,18757,419,559,2088
EUR,2023-01-30,22365,2106,2168,17640,451,2932,18002,1432,18215,349,935,2977
EUR,2023-01-31,19963,2098,2071,15326,468,2985,15635,1345,15544,393,1213,2884
EUR,2023-02-01,21075,2111,2069,16418,477,2989,16595,1493,16379,354,1284,3185
EUR,2023-02-02,22234,2267,2248,17256,463,3025,17653,1558,17317,485,1294,3260
EUR,2023-02-03,24135,2316,2307,19025,487,3111,19539,1486,19561,448,1181,3040
EUR,2023-02-04,20023,2464,2385,14715,459,3060,16130,835,16995,670,623,1804
EUR,2023-02-05,21769,2304,2409,16577,479,2961,18005,804,18846,532,586,1941
EUR,2023-02-06,22835,2200,2230,17955,450,3028,18363,1445,18307,521,1044,3059
EUR,2023-02-07,20804,2090,2129,16105,480,3071,16132,1602,15652,562,1332,3344
EUR,2023-02-08,21787,2150,2134,17004,499,3167,16852,1770,16265,603,1399,3635
EUR,2023-02-09,23462,2337,2273,18383,469,3241,18236,1986,17506,687,1463,3915
EUR,2023-02-10,25752,2385,2359,20500,508,3239,20744,1770,19896,702,1316,3919
EUR,2023-02-11,21321,2464,2417,15948,492,3144,17270,908,17459,767,698,2460
EUR,2023-02-12,23232,2420,2487,17822,503,3170,19147,917,19625,680,710,2344
EUR,2023-02-13,23898,2229,2285,18935,449,3092,19238,1569,19183,484,1082,3269
EUR,2023-02-14,21876,2206,2179,17015,476,3107,17043,1727,16773,472,1337,3384
EUR,2023-02-15,22672,2242,2239,17667,524,3205,17708,1760,17237,533,1350,3660
EUR,2023-02-16,23795,2358,2373,18587,477,3292,18757,1748,18155,551,1403,3769
EUR,2023-02-17,23503,2220,2237,18545,501,2952,18992,1561,18366,561,1184,3464
EUR,2023-02-18,22433,2593,2532,16813,495,3298,18124,1012,18318,709,758,2728
EUR,2023-02-19,23797,2476,2511,18310,500,3158,19631,1009,20096,513,689,2635
EUR,2023-02-20,24132,2276,2323,19050,483,3148,19461,1524,19728,402,1088,3025
EUR,2023-02-21,22150,2232,2247,17186,485,3101,17403,1647,17237,396,1356,3287
EUR,2023-02-22,23037,2309,2292,17884,552,3233,18076,1729,17737,446,1383,3602
EUR,2023-02-23,23976,2423,2389,18650,514,3223,19133,1622,18671,517,1382,3518
EUR,2023-02-24,25543,2429,2426,20198,490,3228,20776,1541,20569,548,1257,3238
EUR,2023-02-25,21807,2537,2502,16270,498,3178,17733,898,18253,692,646,2285
EUR,2023-02-26,23677,2508,2574,18063,532,3162,19567,950,20097,572,651,2479
EUR,2023-02-27,24129,2290,2378,18967,494,3146,19405,1580,19441,417,1027,3336
EUR,2023-02-28,22393,2282,2228,17394,489,3117,17646,1631,17383,415,1294,3405
EUR,2023-03-01,23528,2382,2349,18239,558,3173,18547,1809,18118,479,1302,3719
EUR,2023-03-02,24350,2504,2461,18878,507,3248,19265,1838,18973,518,1377,3560
EUR,2023-03-03,25841,2503,2504,20317,517,3267,20852,1723,20764,505,1223,3414
EUR,2023-03-04,21711,2580,2525,16121,485,3141,17577,994,18210,647,644,2265
EUR,2023-03-05,23647,2559,2605,17972,511,3193,19550,905,20340,524,665,2199
EUR,2023-03-06,24287,2319,2417,19051,500,3107,19815,1366,19993,415,1015,2942
EUR,2023-03-07,21314,2210,2224,16371,509,3103,16955,1258,16883,414,1239,2836
EUR,2023-03-08,22077,2290,2265,16981,541,3207,17457,1415,17194,471,1320,3192
EUR,2023-03-09,23668,2415,2388,18357,508,3247,18918,1505,18441,499,1337,3479
EUR,2023-03-10,24478,2448,2425,19094,511,3264,19949,1267,19910,488,1190,2957
EUR,2023-03-11,21323,2588,2531,15719,485,3215,17212,898,17979,649,670,2077
EUR,2023-03-12,23672,2550,2580,18000,542,3189,19477,1007,20061,566,659,2490
EUR,2023-03-13,24086,2314,2417,18827,528,3126,19486,1475,19405,430,1052,3307
EUR,2023-03-14,22756,2320,2286,17642,508,3106,18094,1557,17764,455,1292,3305
EUR,2023-03-15,23570,2374,2346,18315,535,3207,18400,1964,18106,461,1307,3806
EUR,2023-03-16,24611,2465,2447,19151,548,3314,19124,2174,18651,532,1362,4160
EUR,2023-03-17,25957,2552,2488,20404,513,3297,20605,2056,20317,564,1207,3929
EUR,2023-03-18,21850,2624,2589,16122,515,3277,17522,1053,18283,699,639,2272
EUR,2023-03-19,24013,2557,2628,18270,558,3218,19732,1065,20428,544,654,2516
EUR,2023-03-20,25091,2426,2512,19611,542,3256,20109,1727,20089,466,1058,3588
EUR,2023-03-21,23082,2337,2339,17886,520,3180,18003,1901,17747,424,1330,3657
EUR,2023-03-22,23693,2354,2350,18400,589,3269,18547,1878,18170,494,1336,3773
EUR,2023-03-23,24377,2405,2398,19049,525,3248,19234,1896,18822,491,1349,3801
EUR,2023-03-24,25496,2446,2428,20087,535,3297,20630,1570,20481,482,1206,3392
EUR,2023-03-25,21123,2542,2507,15558,516,3197,17032,896,17956,631,668,1906
EUR,2023-03-26,23975,2454,2554,18451,516,3201,19822,954,20545,576,665,2296
EUR,2023-03-27,23678,2094,2191,18881,512,2993,19021,1665,18934,440,1011,3342
EUR,2023-03-28,25293,2376,2345,20050,522,3312,20166,1816,20099,480,1316,3463
EUR,2023-03-29,26220,2381,2389,20918,532,3401,20797,2024,20595,461,1354,3894
EUR,2023-03-30,27119,2479,2467,21656,517,3406,21902,1812,21514,575,1323,3802
EUR,2023-03-31,27295,2572,2486,21712,525,3425,22365,1506,22227,597,1166,3352
EUR,2023-04-01,24258,2681,2601,18451,525,3402,19984,874,20698,722,658,2208
EUR,2023-04-02,25230,2623,2711,19342,554,3413,20866,953,21763,629,651,2279
EUR,2023-04-03,27139,2447,2444,21707,541,3337,22032,1771,22187,475,1030,3526
EUR,2023-04-04,26356,2456,2504,20863,533,3365,21102,1891,21054,549,1286,3566
EUR,2023-04-05,27211,2446,2412,21836,517,3433,21783,1996,21593,554,1279,3848
EUR,2023-04-06,27295,2502,2500,21770,523,3393,22022,1882,21736,627,1190,3800
EUR,2023-04-07,26390,2575,2540,20730,545,3354,21600,1437,22127,581,832,2920
EUR,2023-04-08,23888,2630,2579,18149,530,3326,19687,876,20777,766,538,1852
EUR,2023-04-09,25097,2596,2646,19291,564,3334,21109,655,22430,632,496,1624
EUR,2023-04-10,26521,2385,2481,21120,535,3156,21944,1422,22496,502,557,3029
EUR,2023-04-11,26810,2409,2455,21445,501,3328,21696,1788,21726,439,1174,3515
EUR,2023-04-12,26834,2446,2392,21449,547,3390,21841,1605,21738,550,1271,3319
EUR,2023-04-13,27860,2549,2561,22198,552,3426,22794,1641,22547,649,1345,3408
EUR,2023-04-14,28853,2623,2631,23061,538,3465,23646,1744,23554,641,1146,3573
EUR,2023-04-15,25057,2722,2687,19132,516,3407,20624,1027,21373,818,637,2291
EUR,2023-04-16,26560,2629,2710,20663,558,3386,22124,1051,22880,667,634,2459
EUR,2023-04-17,28173,2452,2537,22667,517,3351,23116,1707,23198,545,1010,3501
EUR,2023-04-18,27695,2480,2503,22200,512,3358,22427,1912,22145,540,1277,3791
EUR,2023-04-19,28243,2565,2575,22555,548,3422,22825,1998,22529,557,1278,3961
EUR,2023-04-20,28884,2723,2685,22915,561,3524,23375,1986,23026,684,1329,3923
EUR,2023-04-21,29160,2674,2685,23219,582,3556,23459,2146,23169,719,1138,4173
EUR,2023-04-22,25533,2817,2733,19444,539,3418,20841,1275,21516,843,599,2610
EUR,2023-04-23,27574,2826,2865,21300,583,3451,22932,1192,23479,809,631,2763
EUR,2023-04-24,28508,2642,2713,22589,564,3465,23482,1563,23405,610,1032,3534
EUR,2023-04-25,27741,2637,2650,21880,574,3453,22477,1812,22375,543,1222,3655
EUR,2023-04-26,28584,2651,2627,22708,598,3515,23005,2066,22705,634,1279,4024
EUR,2023-04-27,29804,2799,2764,23657,584,3548,24124,2133,23516,743,1348,4290
EUR,2023-04-28,30459,2765,2809,24293,592,3580,24832,2049,24131,839,1213,4320
EUR,2023-04-29,25942,2883,2793,19700,566,3481,21256,1206,21796,960,648,2573
EUR,2023-04-30,27123,2800,2869,20848,606,3471,22533,1120,23398,864,544,2421
EUR,2023-05-01,26827,2604,2668,20967,588,3325,22247,1256,22734,643,548,2949
EUR,2023-05-02,28251,2632,2635,22422,562,3461,23103,1688,23008,573,1097,3637
EUR,2023-05-03,28871,2649,2666,22951,605,3490,23405,1977,23164,603,1257,3910
EUR,2023-05-04,30143,2743,2771,24058,571,3546,24463,2135,24020,740,1266,4196
EUR,2023-05-05,30237,2732,2719,24200,586,3538,24922,1779,24562,836,1137,3740
EUR,2023-05-06,26289,2844,2777,20121,547,3490,21728,1073,22345,957,610,2403
EUR,2023-05-07,28094,2844,2899,21758,593,3535,23433,1127,24043,867,616,2657
EUR,2023-05-08,29310,2687,2759,23277,587,3461,24258,1592,24159,688,889,3637
EUR,2023-05-09,28829,2633,2657,22974,565,3492,23387,1951,23180,573,1250,3881
EUR,2023-05-10,29259,2632,2659,23395,573,3586,23893,1781,23486,674,1288,3856
EUR,2023-05-11,30163,2760,2731,24113,559,3585,24553,2027,24045,802,1322,4066
EUR,2023-05-12,30843,2732,2728,24817,566,3683,25141,2021,24837,838,1182,4013
EUR,2023-05-13,26809,2799,2733,20736,541,3524,22104,1183,22626,1031,643,2547
EUR,2023-05-14,28533,2790,2866,22308,569,3553,23822,1160,24264,938,663,2736
EUR,2023-05-15,29831,2669,2699,23906,557,3538,24516,1778,24414,727,1049,3688
EUR,2023-05-16,28934,2650,2644,23115,525,3520,23588,1828,23217,620,1264,3877
EUR,2023-05-17,29541,2672,2683,23612,574,3621,23788,2133,23098,780,1233,4485
EUR,2023-05-18,29127,2751,2777,23075,524,3520,23801,1807,23546,856,1103,3692
EUR,2023-05-19,28706,2653,2683,22797,573,3597,23569,1541,23432,893,1087,3339
EUR,2023-05-20,26827,2787,2770,20751,519,3511,22170,1148,22621,1093,624,2518
EUR,2023-05-21,29606,2842,2918,23281,565,3610,24471,1526,24351,1117,657,3561
EUR,2023-05-22,30268,2679,2668,24378,543,3515,24855,1899,24482,813,1022,4001
EUR,2023-05-23,29609,2702,2714,23653,540,3547,24025,2039,23527,725,1267,4126
EUR,2023-05-24,30275,2720,2766,24237,552,3587,24601,2088,23837,852,1277,4372
EUR,2023-05-25,31200,2770,2810,25078,542,3624,25266,2312,24349,945,1326,4641
EUR,2023-05-26,32072,2776,2783,25966,547,3711,26023,2340,24967,1115,1185,4847
EUR,2023-05-27,28200,2873,2805,21990,532,3609,23258,1335,23242,1301,618,3062
EUR,2023-05-28,28800,2877,2889,22449,585,3566,24140,1096,24554,1164,578,2573
EUR,2023-05-29,30313,2754,2764,24237,558,3498,25045,1771,24543,947,820,4092
EUR,2023-05-30,30355,2765,2784,24274,532,3604,24690,2063,23980,914,1210,4310
EUR,2023-05-31,30856,2784,2766,24735,571,3663,25104,2091,24379,930,1273,4340
EUR,2023-06-01,32212,2967,2971,25688,586,3791,26236,2187,25251,1150,1277,4540
EUR,2023-06-02,32233,2925,2958,25765,585,3749,26439,2044,25795,1151,1088,4197
EUR,2023-06-03,28765,2988,3003,22190,584,3743,23794,1226,23753,1416,633,2950
EUR,2023-06-04,30286,3047,3036,23582,621,3707,25068,1513,24728,1330,622,3644
EUR,2023-06-05,31656,2875,2923,25251,607,3709,26013,1935,25475,1061,971,4168
EUR,2023-06-06,29858,2827,2854,23583,594,3660,24339,1861,23799,982,1182,3902
EUR,2023-06-07,31905,2919,2913,25438,635,3787,25850,2270,24921,1119,1278,4593
EUR,2023-06-08,32185,3011,3044,25512,618,3796,26407,1984,25396,1219,1264,4333
EUR,2023-06-09,32737,2971,3038,26080,648,3877,26940,1921,26031,1257,1140,4311
EUR,2023-06-10,29271,2999,3000,22677,595,3737,24186,1347,24049,1466,612,3135
EUR,2023-06-11,31426,3111,3061,24608,646,3749,26087,1592,25346,1468,613,4035
EUR,2023-06-12,32106,2959,2975,25537,635,3733,26443,1931,25529,1172,1006,4419
EUR,2023-06-13,31523,2947,2979,24989,608,3775,25718,2031,24835,1138,1249,4319
EUR,2023-06-14,32155,2946,2977,25575,657,3805,26234,2117,25186,1209,1298,4501
EUR,2023-06-15,33499,3145,3093,26630,631,3892,27183,2425,25829,1328,1329,5068
EUR,2023-06-16,33909,3069,3148,27043,649,3923,27674,2313,26548,1360,1165,4844
EUR,2023-06-17,29706,3089,3043,22944,630,3767,24621,1317,24527,1489,624,3057
EUR,2023-06-18,31139,3119,3126,24260,634,3780,25930,1431,25554,1501,624,3489
EUR,2023-06-19,32943,3020,3105,26195,623,3782,26984,2178,26009,1258,1033,4668
EUR,2023-06-20,31559,3060,3042,24861,596,3817,25741,2002,24719,1204,1233,4408
EUR,2023-06-21,32810,3047,3046,26077,640,3907,26766,2138,25607,1310,1299,4629
EUR,2023-06-22,33121,3180,3191,26122,628,3896,27151,2076,25753,1413,1262,4720
EUR,2023-06-23,33669,3168,3159,26711,631,3971,27506,2193,26354,1383,1138,4799
EUR,2023-06-24,30163,3195,3137,23255,576,3807,25042,1313,24798,1512,630,3213
EUR,2023-06-25,32070,3291,3272,24896,611,3872,26729,1470,26259,1487,632,3741
EUR,2023-06-26,33443,3142,3167,26531,603,3824,27511,2110,26515,1288,1005,4657
EUR,2023-06-27,32813,3140,3182,25908,583,3848,26837,2130,25756,1273,1262,4564
EUR,2023-06-28,33026,3145,3142,26137,602,3881,26995,2152,25873,1360,1233,4587
EUR,2023-06-29,33611,3231,3231,26572,577,3943,27466,2203,26203,1372,1324,4728
EUR,2023-06-30,34031,3208,3223,27003,597,3994,27905,2134,26696,1398,1156,4788
EUR,2023-07-01,31219,3260,3227,24156,576,3872,25903,1442,25455,1572,601,3563
