ICAO,YEAR,MONTH,TOT_FLTS_MONTH
SBBR,2019,1,13256
SBBR,2019,2,11844
SBBR,2019,3,12600
SBBR,2019,4,12147
SBBR,2019,5,12493
SBBR,2019,6,11534
SBBR,2019,7,13408
SBBR,2019,8,12747
SBBR,2019,9,12611
SBBR,2019,10,13343
SBBR,2019,11,13180
SBBR,2019,12,13359
SBBR,2020,1,13086
SBBR,2020,2,11798
SBBR,2020,3,9497
SBBR,2020,4,2174
SBBR,2020,5,2737
SBBR,2020,6,3527
SBBR,2020,7,4998
SBBR,2020,8,6376
SBBR,2020,9,7650
SBBR,2020,10,8867
SBBR,2020,11,8506
SBBR,2020,12,10167
SBBR,2021,1,9617
SBBR,2021,2,7941
SBBR,2021,3,7372
SBBR,2021,4,5958
SBBR,2021,5,7475
SBBR,2021,6,8344
SBBR,2021,7,9862
SBBR,2021,8,10401
SBBR,2021,9,10973
SBBR,2021,10,11043
SBBR,2021,11,11360
SBBR,2021,12,12530
SBBR,2022,1,10879
SBBR,2022,2,9340
SBBR,2022,3,10697
SBBR,2022,4,9982
SBBR,2022,5,11189
SBBR,2022,6,10765
SBBR,2022,7,12185
SBBR,2022,8,12255
SBBR,2022,9,11963
SBBR,2022,10,11902
SBBR,2022,11,11963
SBBR,2022,12,12515
SBBR,2023,1,11990
SBBR,2023,2,10778
SBBR,2023,3,12614
SBBR,2023,4,12139
SBBR,2023,5,13725
SBBR,2023,6,13467
SBBR,2023,7,12507
SBBR,2023,8,13044
SBBR,2023,9,12280
SBBR,2023,10,12168
SBBR,2023,11,11938
SBBR,2023,12,12122
SBBR,2024,1,11058
SBBR,2024,2,10818
SBBR,2024,3,12192
SBBR,2024,4,12086
SBBR,2024,5,12380
SBBR,2024,6,12130
SBBR,2024,7,12956
SBBR,2024,8,13698
SBBR,2024,9,13062
SBBR,2024,10,13059
SBBR,2024,11,12077
SBBR,2024,12,12441
SBCF,2019,1,8722
SBCF,2019,2,7861
SBCF,2019,3,8253
SBCF,2019,4,8055
SBCF,2019,5,8259
SBCF,2019,6,8197
SBCF,2019,7,9345
SBCF,2019,8,8815
SBCF,2019,9,8469
SBCF,2019,10,8753
SBCF,2019,11,8269
SBCF,2019,12,8843
SBCF,2020,1,9207
SBCF,2020,2,7926
SBCF,2020,3,5915
SBCF,2020,4,686
SBCF,2020,5,786
SBCF,2020,6,1012
SBCF,2020,7,1536
SBCF,2020,8,2203
SBCF,2020,9,2864
SBCF,2020,10,3817
SBCF,2020,11,4680
SBCF,2020,12,5800
SBCF,2021,1,6400
SBCF,2021,2,4464
SBCF,2021,3,4597
SBCF,2021,4,3605
SBCF,2021,5,4069
SBCF,2021,6,4483
SBCF,2021,7,5870
SBCF,2021,8,5901
SBCF,2021,9,6318
SBCF,2021,10,6628
SBCF,2021,11,6659
SBCF,2021,12,7645
SBCF,2022,1,7230
SBCF,2022,2,5745
SBCF,2022,3,6754
SBCF,2022,4,7080
SBCF,2022,5,7694
SBCF,2022,6,7451
SBCF,2022,7,8501
SBCF,2022,8,8051
SBCF,2022,9,7973
SBCF,2022,10,8375
SBCF,2022,11,7951
SBCF,2022,12,8412
SBCF,2023,1,8333
SBCF,2023,2,7450
SBCF,2023,3,8418
SBCF,2023,4,7879
SBCF,2023,5,8304
SBCF,2023,6,7904
SBCF,2023,7,8643
SBCF,2023,8,8346
SBCF,2023,9,8131
SBCF,2023,10,8663
SBCF,2023,11,8279
SBCF,2023,12,8606
SBCF,2024,1,8638
SBCF,2024,2,8091
SBCF,2024,3,8681
SBCF,2024,4,9131
SBCF,2024,5,9118
SBCF,2024,6,9314
SBCF,2024,7,10052
SBCF,2024,8,10417
SBCF,2024,9,10379
SBCF,2024,10,10556
SBCF,2024,11,9992
SBCF,2024,12,9812
SBCT,2019,1,5308
SBCT,2019,2,5302
SBCT,2019,3,5516
SBCT,2019,4,5355
SBCT,2019,5,5361
SBCT,2019,6,5104
SBCT,2019,7,5725
SBCT,2019,8,5781
SBCT,2019,9,5807
SBCT,2019,10,5902
SBCT,2019,11,5776
SBCT,2019,12,5973
SBCT,2020,1,5781
SBCT,2020,2,5295
SBCT,2020,3,3987
SBCT,2020,4,498
SBCT,2020,5,682
SBCT,2020,6,956
SBCT,2020,7,1227
SBCT,2020,8,1330
SBCT,2020,9,1603
SBCT,2020,10,2380
SBCT,2020,11,2730
SBCT,2020,12,2939
SBCT,2021,1,2833
SBCT,2021,2,2364
SBCT,2021,3,1973
SBCT,2021,4,1494
SBCT,2021,5,1978
SBCT,2021,6,2428
SBCT,2021,7,2903
SBCT,2021,8,3233
SBCT,2021,9,3553
SBCT,2021,10,3746
SBCT,2021,11,4144
SBCT,2021,12,4267
SBCT,2022,1,3648
SBCT,2022,2,3228
SBCT,2022,3,4315
SBCT,2022,4,4650
SBCT,2022,5,5178
SBCT,2022,6,4786
SBCT,2022,7,5059
SBCT,2022,8,5104
SBCT,2022,9,4973
SBCT,2022,10,5061
SBCT,2022,11,5046
SBCT,2022,12,5014
SBCT,2023,1,4645
SBCT,2023,2,4267
SBCT,2023,3,5178
SBCT,2023,4,4953
SBCT,2023,5,5329
SBCT,2023,6,4942
SBCT,2023,7,5377
SBCT,2023,8,5406
SBCT,2023,9,5101
SBCT,2023,10,5095
SBCT,2023,11,5045
SBCT,2023,12,5228
SBCT,2024,1,4699
SBCT,2024,2,4538
SBCT,2024,3,5342
SBCT,2024,4,5233
SBCT,2024,5,5084
SBCT,2024,6,4986
SBCT,2024,7,5292
SBCT,2024,8,5312
SBCT,2024,9,5128
SBCT,2024,10,5166
SBCT,2024,11,5030
SBCT,2024,12,4999
SBGL,2019,1,10282
SBGL,2019,2,8199
SBGL,2019,3,8797
SBGL,2019,4,7311
SBGL,2019,5,7433
SBGL,2019,6,7138
SBGL,2019,7,8885
SBGL,2019,8,9815
SBGL,2019,9,12708
SBGL,2019,10,8398
SBGL,2019,11,8297
SBGL,2019,12,9024
SBGL,2020,1,9301
SBGL,2020,2,8218
SBGL,2020,3,5729
SBGL,2020,4,680
SBGL,2020,5,969
SBGL,2020,6,1251
SBGL,2020,7,1873
SBGL,2020,8,2359
SBGL,2020,9,2408
SBGL,2020,10,3250
SBGL,2020,11,2985
SBGL,2020,12,3598
SBGL,2021,1,3482
SBGL,2021,2,2415
SBGL,2021,3,2059
SBGL,2021,4,1733
SBGL,2021,5,2325
SBGL,2021,6,2341
SBGL,2021,7,3588
SBGL,2021,8,3597
SBGL,2021,9,4106
SBGL,2021,10,4383
SBGL,2021,11,4740
SBGL,2021,12,5328
SBGL,2022,1,5235
SBGL,2022,2,4211
SBGL,2022,3,4566
SBGL,2022,4,3787
SBGL,2022,5,3636
SBGL,2022,6,3667
SBGL,2022,7,4113
SBGL,2022,8,4020
SBGL,2022,9,4376
SBGL,2022,10,4296
SBGL,2022,11,4270
SBGL,2022,12,4922
SBGL,2023,1,5372
SBGL,2023,2,4711
SBGL,2023,3,4750
SBGL,2023,4,4379
SBGL,2023,5,4358
SBGL,2023,6,4296
SBGL,2023,7,4892
SBGL,2023,8,5226
SBGL,2023,9,4864
SBGL,2023,10,5855
SBGL,2023,11,6529
SBGL,2023,12,8137
SBGL,2024,1,9805
SBGL,2024,2,8424
SBGL,2024,3,8344
SBGL,2024,4,8133
SBGL,2024,5,8250
SBGL,2024,6,7973
SBGL,2024,7,9791
SBGL,2024,8,9367
SBGL,2024,9,9591
SBGL,2024,10,9659
SBGL,2024,11,9766
SBGL,2024,12,10497
SBGR,2019,1,27000
SBGR,2019,2,23495
SBGR,2019,3,25001
SBGR,2019,4,23505
SBGR,2019,5,21855
SBGR,2019,6,21785
SBGR,2019,7,25297
SBGR,2019,8,24995
SBGR,2019,9,24483
SBGR,2019,10,25100
SBGR,2019,11,24560
SBGR,2019,12,27232
SBGR,2020,1,27434
SBGR,2020,2,24197
SBGR,2020,3,19162
SBGR,2020,4,3462
SBGR,2020,5,4147
SBGR,2020,6,4817
SBGR,2020,7,7431
SBGR,2020,8,9862
SBGR,2020,9,11526
SBGR,2020,10,13994
SBGR,2020,11,14819
SBGR,2020,12,17420
SBGR,2021,1,17707
SBGR,2021,2,13505
SBGR,2021,3,12138
SBGR,2021,4,9886
SBGR,2021,5,12340
SBGR,2021,6,13695
SBGR,2021,7,17541
SBGR,2021,8,16784
SBGR,2021,9,17126
SBGR,2021,10,18289
SBGR,2021,11,20084
SBGR,2021,12,21616
SBGR,2022,1,20608
SBGR,2022,2,17274
SBGR,2022,3,19265
SBGR,2022,4,18041
SBGR,2022,5,19110
SBGR,2022,6,18754
SBGR,2022,7,22266
SBGR,2022,8,22012
SBGR,2022,9,21056
SBGR,2022,10,21829
SBGR,2022,11,21625
SBGR,2022,12,23351
SBGR,2023,1,23659
SBGR,2023,2,19920
SBGR,2023,3,22541
SBGR,2023,4,21863
SBGR,2023,5,22999
SBGR,2023,6,22467
SBGR,2023,7,24908
SBGR,2023,8,24331
SBGR,2023,9,23109
SBGR,2023,10,23692
SBGR,2023,11,22967
SBGR,2023,12,24348
SBGR,2024,1,24336
SBGR,2024,2,21635
SBGR,2024,3,23017
SBGR,2024,4,23263
SBGR,2024,5,23756
SBGR,2024,6,23730
SBGR,2024,7,26568
SBGR,2024,8,25630
SBGR,2024,9,24087
SBGR,2024,10,24748
SBGR,2024,11,24042
SBGR,2024,12,25132
SBKP,2019,1,9751
SBKP,2019,2,9106
SBKP,2019,3,9600
SBKP,2019,4,9536
SBKP,2019,5,9708
SBKP,2019,6,9442
SBKP,2019,7,10061
SBKP,2019,8,9947
SBKP,2019,9,9386
SBKP,2019,10,9725
SBKP,2019,11,9333
SBKP,2019,12,9340
SBKP,2020,1,9635
SBKP,2020,2,8956
SBKP,2020,3,6840
SBKP,2020,4,2095
SBKP,2020,5,2983
SBKP,2020,6,3785
SBKP,2020,7,4445
SBKP,2020,8,5142
SBKP,2020,9,5777
SBKP,2020,10,7288
SBKP,2020,11,8233
SBKP,2020,12,8708
SBKP,2021,1,8880
SBKP,2021,2,7413
SBKP,2021,3,7987
SBKP,2021,4,6634
SBKP,2021,5,7766
SBKP,2021,6,8281
SBKP,2021,7,8991
SBKP,2021,8,9898
SBKP,2021,9,9638
SBKP,2021,10,9869
SBKP,2021,11,10068
SBKP,2021,12,10092
SBKP,2022,1,8903
SBKP,2022,2,8671
SBKP,2022,3,10300
SBKP,2022,4,10412
SBKP,2022,5,11431
SBKP,2022,6,10101
SBKP,2022,7,11057
SBKP,2022,8,11525
SBKP,2022,9,11341
SBKP,2022,10,11947
SBKP,2022,11,11283
SBKP,2022,12,11595
SBKP,2023,1,11269
SBKP,2023,2,10225
SBKP,2023,3,11224
SBKP,2023,4,10460
SBKP,2023,5,10544
SBKP,2023,6,10186
SBKP,2023,7,10602
SBKP,2023,8,10900
SBKP,2023,9,10018
SBKP,2023,10,10298
SBKP,2023,11,10191
SBKP,2023,12,10190
SBKP,2024,1,9238
SBKP,2024,2,9170
SBKP,2024,3,9919
SBKP,2024,4,10044
SBKP,2024,5,10247
SBKP,2024,6,10380
SBKP,2024,7,10881
SBKP,2024,8,11028
SBKP,2024,9,10184
SBKP,2024,10,10346
SBKP,2024,11,10161
SBKP,2024,12,10688
SBPA,2019,1,6471
SBPA,2019,2,6108
SBPA,2019,3,6165
SBPA,2019,4,6119
SBPA,2019,5,5983
SBPA,2019,6,6107
SBPA,2019,7,6644
SBPA,2019,8,6966
SBPA,2019,9,6519
SBPA,2019,10,6687
SBPA,2019,11,6574
SBPA,2019,12,7281
SBPA,2020,1,7079
SBPA,2020,2,6485
SBPA,2020,3,4938
SBPA,2020,4,780
SBPA,2020,5,991
SBPA,2020,6,1295
SBPA,2020,7,1588
SBPA,2020,8,1810
SBPA,2020,9,2101
SBPA,2020,10,2918
SBPA,2020,11,3630
SBPA,2020,12,4308
SBPA,2021,1,4252
SBPA,2021,2,3301
SBPA,2021,3,2719
SBPA,2021,4,2194
SBPA,2021,5,2775
SBPA,2021,6,3485
SBPA,2021,7,4472
SBPA,2021,8,4706
SBPA,2021,9,4631
SBPA,2021,10,4975
SBPA,2021,11,5835
SBPA,2021,12,5927
SBPA,2022,1,5324
SBPA,2022,2,4378
SBPA,2022,3,5225
SBPA,2022,4,5436
SBPA,2022,5,5883
SBPA,2022,6,5535
SBPA,2022,7,5988
SBPA,2022,8,5694
SBPA,2022,9,5431
SBPA,2022,10,5617
SBPA,2022,11,5843
SBPA,2022,12,6086
SBPA,2023,1,5743
SBPA,2023,2,4922
SBPA,2023,3,6141
SBPA,2023,4,5881
SBPA,2023,5,6326
SBPA,2023,6,6310
SBPA,2023,7,6500
SBPA,2023,8,6771
SBPA,2023,9,5794
SBPA,2023,10,6059
SBPA,2023,11,6275
SBPA,2023,12,6212
SBPA,2024,1,5734
SBPA,2024,2,5349
SBPA,2024,3,6073
SBPA,2024,4,6120
SBPA,2024,5,549
SBPA,2024,10,1049
SBPA,2024,11,3492
SBPA,2024,12,4020
SBRJ,2019,1,8547
SBRJ,2019,2,7847
SBRJ,2019,3,8363
SBRJ,2019,4,8341
SBRJ,2019,5,8456
SBRJ,2019,6,7678
SBRJ,2019,7,8342
SBRJ,2019,8,7004
SBRJ,2019,9,4153
SBRJ,2019,10,9550
SBRJ,2019,11,9260
SBRJ,2019,12,9871
SBRJ,2020,1,10056
SBRJ,2020,2,9049
SBRJ,2020,3,6625
SBRJ,2020,4,857
SBRJ,2020,5,993
SBRJ,2020,6,1587
SBRJ,2020,7,2342
SBRJ,2020,8,3145
SBRJ,2020,9,4125
SBRJ,2020,10,5283
SBRJ,2020,11,5737
SBRJ,2020,12,6799
SBRJ,2021,1,6931
SBRJ,2021,2,5388
SBRJ,2021,3,4789
SBRJ,2021,4,3598
SBRJ,2021,5,4799
SBRJ,2021,6,5551
SBRJ,2021,7,6698
SBRJ,2021,8,6652
SBRJ,2021,9,7022
SBRJ,2021,10,7131
SBRJ,2021,11,7878
SBRJ,2021,12,8446
SBRJ,2022,1,7219
SBRJ,2022,2,6705
SBRJ,2022,3,8092
SBRJ,2022,4,9425
SBRJ,2022,5,9872
SBRJ,2022,6,9069
SBRJ,2022,7,9846
SBRJ,2022,8,10113
SBRJ,2022,9,9994
SBRJ,2022,10,10400
SBRJ,2022,11,10403
SBRJ,2022,12,10740
SBRJ,2023,1,10462
SBRJ,2023,2,9751
SBRJ,2023,3,11491
SBRJ,2023,4,10684
SBRJ,2023,5,11645
SBRJ,2023,6,11067
SBRJ,2023,7,11243
SBRJ,2023,8,11675
SBRJ,2023,9,11139
SBRJ,2023,10,8895
SBRJ,2023,11,8284
SBRJ,2023,12,6894
SBRJ,2024,1,5220
SBRJ,2024,2,5558
SBRJ,2024,3,5753
SBRJ,2024,4,6420
SBRJ,2024,5,6572
SBRJ,2024,6,6161
SBRJ,2024,7,6484
SBRJ,2024,8,6667
SBRJ,2024,9,6604
SBRJ,2024,10,6533
SBRJ,2024,11,5649
SBRJ,2024,12,6070
SBSP,2019,1,18502
SBSP,2019,2,16961
SBSP,2019,3,18023
SBSP,2019,4,17970
SBSP,2019,5,17860
SBSP,2019,6,16837
SBSP,2019,7,17759
SBSP,2019,8,18556
SBSP,2019,9,18371
SBSP,2019,10,19451
SBSP,2019,11,18988
SBSP,2019,12,19078
SBSP,2020,1,18720
SBSP,2020,2,17340
SBSP,2020,3,12937
SBSP,2020,4,1740
SBSP,2020,5,2214
SBSP,2020,6,3141
SBSP,2020,7,4682
SBSP,2020,8,4272
SBSP,2020,9,5737
SBSP,2020,10,8009
SBSP,2020,11,8948
SBSP,2020,12,10496
SBSP,2021,1,11311
SBSP,2021,2,9061
SBSP,2021,3,7623
SBSP,2021,4,6039
SBSP,2021,5,7782
SBSP,2021,6,8632
SBSP,2021,7,11271
SBSP,2021,8,11056
SBSP,2021,9,12254
SBSP,2021,10,12749
SBSP,2021,11,13754
SBSP,2021,12,15672
SBSP,2022,1,14294
SBSP,2022,2,12229
SBSP,2022,3,14257
SBSP,2022,4,16191
SBSP,2022,5,17640
SBSP,2022,6,16052
SBSP,2022,7,17444
SBSP,2022,8,17703
SBSP,2022,9,16667
SBSP,2022,10,17557
SBSP,2022,11,18342
SBSP,2022,12,18819
SBSP,2023,1,18563
SBSP,2023,2,16882
SBSP,2023,3,19927
SBSP,2023,4,18840
SBSP,2023,5,20294
SBSP,2023,6,18972
SBSP,2023,7,20128
SBSP,2023,8,20826
SBSP,2023,9,19680
SBSP,2023,10,19727
SBSP,2023,11,18864
SBSP,2023,12,19664
SBSP,2024,1,19199
SBSP,2024,2,18232
SBSP,2024,3,19900
SBSP,2024,4,20552
SBSP,2024,5,19413
SBSP,2024,6,19164
SBSP,2024,7,19601
SBSP,2024,8,20232
SBSP,2024,9,19208
SBSP,2024,10,19974
SBSP,2024,11,19319
SBSP,2024,12,19892
SBSV,2019,1,8056
SBSV,2019,2,6454
SBSV,2019,3,6841
SBSV,2019,4,5581
SBSV,2019,5,5232
SBSV,2019,6,5424
SBSV,2019,7,6917
SBSV,2019,8,6575
SBSV,2019,9,6346
SBSV,2019,10,6797
SBSV,2019,11,6836
SBSV,2019,12,7831
SBSV,2020,1,7878
SBSV,2020,2,7100
SBSV,2020,3,4882
SBSV,2020,4,1452
SBSV,2020,5,1760
SBSV,2020,6,1850
SBSV,2020,7,2475
SBSV,2020,8,2961
SBSV,2020,9,3623
SBSV,2020,10,4752
SBSV,2020,11,4843
SBSV,2020,12,6438
SBSV,2021,1,7125
SBSV,2021,2,5144
SBSV,2021,3,4909
SBSV,2021,4,3653
SBSV,2021,5,4218
SBSV,2021,6,5017
SBSV,2021,7,6001
SBSV,2021,8,5625
SBSV,2021,9,6115
SBSV,2021,10,6443
SBSV,2021,11,6459
SBSV,2021,12,7569
SBSV,2022,1,7714
SBSV,2022,2,6267
SBSV,2022,3,6659
SBSV,2022,4,6122
SBSV,2022,5,5974
SBSV,2022,6,6008
SBSV,2022,7,6656
SBSV,2022,8,6373
SBSV,2022,9,6043
SBSV,2022,10,6081
SBSV,2022,11,5712
SBSV,2022,12,6758
SBSV,2023,1,6972
SBSV,2023,2,5989
SBSV,2023,3,5920
SBSV,2023,4,5772
SBSV,2023,5,5959
SBSV,2023,6,6166
SBSV,2023,7,7118
SBSV,2023,8,6742
SBSV,2023,9,6497
SBSV,2023,10,6667
SBSV,2023,11,6435
SBSV,2023,12,7414
SBSV,2024,1,7629
SBSV,2024,2,6579
SBSV,2024,3,6273
SBSV,2024,4,5906
SBSV,2024,5,6176
SBSV,2024,6,6455
SBSV,2024,7,7330
SBSV,2024,8,6660
SBSV,2024,9,6803
SBSV,2024,10,6805
SBSV,2024,11,6199
SBSV,2024,12,7238
